gene	log2FC	padj	typeReg	Condition
PFDSM3638_RS00280	-1.978930259130911	9.261811204579447e-35	down	CS1
PFDSM3638_RS00295	0.5076222642875936	0.022768147505132542	up	CS1
PFDSM3638_RS00300	0.25034522857790914	0.21539053730622604	not significant	CS1
PFDSM3638_RS00305	-0.2000792843261456	0.23585707143776352	not significant	CS1
PFDSM3638_RS00310	-0.5236769019876156	0.0049370306913073475	down	CS1
PFDSM3638_RS00315	-0.6907776070863342	8.077310346939755e-4	down	CS1
PFDSM3638_RS00320	-0.33292106536323174	0.001926553563204573	down	CS1
PFDSM3638_RS00325	0.18064453215814363	0.20710030900494633	not significant	CS1
PFDSM3638_RS00330	-4.441881613958853	3.844489138428039e-9	down	CS1
PFDSM3638_RS00335	-1.5050319088956443	3.3022175122879675e-5	down	CS1
PFDSM3638_RS00340	-2.047414851977857	2.8438688781408595e-12	down	CS1
PFDSM3638_RS00345	-1.0465930104182912	4.6137209384352325e-6	down	CS1
PFDSM3638_RS00350	-0.3821883800312633	6.337281376421428e-4	down	CS1
PFDSM3638_RS00355	-0.4370442436716854	0.05455605460407536	not significant	CS1
PFDSM3638_RS00360	0.5160867259784142	0.01400090600706614	up	CS1
PFDSM3638_RS00365	0.1988739991075945	0.17316908445989185	not significant	CS1
PFDSM3638_RS00370	-0.5525991677884454	0.0029433368164309553	down	CS1
PFDSM3638_RS00375	-2.7467105546238235	1.7140960521785971e-12	down	CS1
PFDSM3638_RS00380	-2.100924297771851	1.272787318117664e-19	down	CS1
PFDSM3638_RS00385	-0.89633756922302	1.0516921749875116e-4	down	CS1
PFDSM3638_RS00390	-0.044371435813390835	0.7378125571079691	not significant	CS1
PFDSM3638_RS00395	-0.6651375662117521	0.027721775295025054	down	CS1
PFDSM3638_RS00400	1.1170731803900908	1.486968839850423e-7	up	CS1
PFDSM3638_RS00405	0.8560564010021637	3.650543820837009e-11	up	CS1
PFDSM3638_RS00410	0.16572107838672903	0.17100716355054568	not significant	CS1
PFDSM3638_RS00415	-0.5576235031861445	1.2713190372184576e-7	down	CS1
PFDSM3638_RS00420	0.10024198822134478	0.47723267734152824	not significant	CS1
PFDSM3638_RS00425	0.34251571351869253	0.024145706290089653	up	CS1
PFDSM3638_RS00430	-1.1301707153153935	9.482622717005688e-6	down	CS1
PFDSM3638_RS00435	-0.11446016574078811	0.29712241909443426	not significant	CS1
PFDSM3638_RS00445	-1.5927034202638792	3.027677985626726e-6	down	CS1
PFDSM3638_RS00450	-0.9920619315412575	0.0017198509242361735	down	CS1
